"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"
"GO:0002102"	2.99e-09	0.000147355	0.968419838	5.9e-06	0.000782039	2.19e-09	1.63e-07	5.94e-08	0.030644644	"0.968419838"	"3"
"GO:0005730"	2.44e-124	6.47e-58	3.47e-34	1.69e-106	2.1e-10	2.62e-123	1.27e-107	6.35e-79	1	"1"	"9"
"GO:0005739"	4.09e-158	1.01e-99	7.14e-63	4.98e-131	0.100848298	3.95e-157	9.03e-137	3.95e-103	0.899151702	"0.899151702"	"9"
"GO:0006646"	0.032336025	0.044970037	0.100254455	0.017617694	0.020590626	0.017870734	0.01255428	0.093724351	0.660081798	"0.660081798"	"9"
"GO:0006644"	5.07e-30	7.02e-14	0.001643853	6.51e-16	5.79e-13	1.92e-30	1.5e-25	1.35e-17	0.998356147	"0.998356147"	"9"
"GO:0006641"	2.11e-06	0.00344829	0.351705638	0.000136935	0.125579891	9.31e-07	7.11e-06	8.74e-05	0.519031717	"0.519031717"	"9"
"GO:0030658"	1.18e-06	0.000383559	0.00030236	8.59e-07	0.994476556	5.3e-07	7.17e-07	1.75e-05	0.004816778	"0.994476556"	"5"
"GO:0030659"	4.35e-23	6.31e-12	3.57e-08	7.92e-18	1.56e-11	2.54e-22	3.52e-18	3.44e-15	0.999999964	"0.999999964"	"9"
"GO:0030126"	0.080236209	0.002557325	0.03293142	0.030427437	0.036087749	0.029941032	0.19282877	0.491686655	0.103303402	"0.491686655"	"8"
"GO:0004467"	0.043442557	0.018560341	0.166564361	0.046806224	0.639062442	0.02733542	0.026332364	0.015996873	0.015899419	"0.639062442"	"5"
"GO:0006919"	8.45e-13	1.95e-05	0.009342505	1.24e-07	1.1e-05	3.14e-13	1.15e-11	6.83e-08	0.990626799	"0.990626799"	"9"
"GO:0006914"	9.47e-20	8.58e-06	3.58e-09	8.74e-16	3.86e-08	2.42e-19	1.89e-16	6.96e-12	0.999991376	"0.999991376"	"9"
"GO:0006915"	4.82e-106	2.77e-57	1.19e-27	7.01e-88	1.08e-27	1.78e-106	2.04e-90	5.84e-69	1	"1"	"9"
"GO:0006913"	6.88e-07	0.000304024	6.07e-05	3.29e-07	0.233402292	1.22e-06	1.26e-06	3.11e-05	0.766198386	"0.766198386"	"9"
"GO:0000775"	5.39e-08	0.000569671	0.000211169	2.26e-08	0.003092128	4.54e-07	1.11e-06	3.71e-06	0.99612168	"0.99612168"	"9"
"GO:0000776"	9.34e-15	1.28e-07	1.81e-05	1.46e-13	0.806781562	3.7e-15	4.87e-14	2.75e-10	0.19320016	"0.806781562"	"5"
"GO:0000777"	3.94e-12	7.51e-08	1.1e-05	4.3e-12	0.98210495	2.01e-12	2.93e-11	5.02e-09	0.017883968	"0.98210495"	"5"
"GO:0031528"	0.004804214	0.079693018	0.477624526	0.039146597	0.011189738	0.001768257	0.002683801	0.048236277	0.334853572	"0.477624526"	"3"
"GO:0031527"	2.68e-05	0.001546216	0.004130686	2.08e-05	0.096936606	1.89e-05	0.000170968	0.000217189	0.896931798	"0.896931798"	"9"
"GO:0021522"	0.033519488	0.05418405	0.095122306	0.023413368	0.017780669	0.015375174	0.012332556	0.124671477	0.623600913	"0.623600913"	"9"
"GO:0051216"	9.97e-12	7.98e-08	0.00106911	5.24e-10	0.001422069	5.19e-12	5.86e-11	2.86e-08	0.997508712	"0.997508712"	"9"
"GO:0051213"	0.120407606	0.052357793	0.04880167	0.11852987	0.187228233	0.054202684	0.057528294	0.103138358	0.257805492	"0.257805492"	"9"
"GO:0007200"	2.2e-11	2.79e-08	1.09e-05	3.13e-11	0.999350759	9.16e-12	1e-09	3.44e-10	0.000638317	"0.999350759"	"5"
"GO:0007202"	3.29e-11	3.85e-06	8.57e-05	1.48e-09	0.000154332	2.86e-11	1.65e-10	2.11e-07	0.99975587	"0.99975587"	"9"
"GO:0051219"	6.07e-05	0.045925527	0.002007753	2.74e-05	0.263572739	0.001134823	0.001769231	0.001202303	0.684299508	"0.684299508"	"9"
"GO:0007204"	1.09e-12	2.08e-07	7.73e-05	1.63e-10	0.021794648	4.67e-13	6.31e-12	2.15e-08	0.978127854	"0.978127854"	"9"
"GO:0046847"	0.005269776	0.098258099	0.02716305	0.003840247	0.733505709	0.00198441	0.00214219	0.028605541	0.099230979	"0.733505709"	"5"
"GO:0007346"	1.37e-12	1.57e-07	0.026387119	4.08e-09	0.013045171	5.03e-13	3.44e-11	2.09e-08	0.960567529	"0.960567529"	"9"
"GO:0071356"	4.56e-17	1.44e-09	0.651233101	9.1e-12	2.85e-05	2.49e-17	2.51e-14	1.73e-12	0.348738355	"0.651233101"	"3"
"GO:0071353"	7.85e-05	0.001952141	0.00062561	3.32e-05	0.657766295	6.27e-05	4.16e-05	0.001878748	0.337561183	"0.657766295"	"5"
"GO:2000649"	4.1e-05	4.31e-05	0.00192836	4.97e-05	0.989776881	0.000104633	1.56e-05	6.26e-05	0.007978177	"0.989776881"	"5"
"GO:0001968"	6.48e-05	0.000211907	0.002085481	4.65e-05	0.882612542	2.51e-05	2.41e-05	0.000963948	0.113965655	"0.882612542"	"5"
"GO:0033268"	1.2e-06	0.002139438	0.037996871	3.45e-05	0.065651881	4.51e-07	2.7e-06	4.57e-05	0.894127256	"0.894127256"	"9"
"GO:0035145"	7.19e-05	0.022841803	0.024102373	0.000348314	0.001368216	3.31e-05	9.62e-05	0.001995711	0.949142402	"0.949142402"	"9"
"GO:0045071"	1.62e-09	7.95e-08	0.00025103	7.03e-09	0.999397753	1.25e-09	9.05e-09	3.54e-09	0.000351115	"0.999397753"	"5"
"GO:0015949"	0.001867504	0.03609958	0.677073775	0.07506915	0.004178148	0.000772006	0.001789899	0.012351722	0.190798216	"0.677073775"	"3"
